ticker,open,close,low,high,volume,date,name,sector,industry
AIRR,28.1700000762939,28.0419998168945,27.8899993896484,28.1700000762939,60000,2018-01-23,FIRST TRUST RBA AMERICAN INDUSTRIAL RENAISSANCE ETF,,
IMGN,13.0,13.375,13.0,13.5,16800,1992-08-05,IMMUNOGEN INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
VIVO,3.5,3.5,3.44444441795349,3.55555558204651,44100,2000-09-29,MERIDIAN BIOSCIENCE INC.,HEALTH CARE,BIOTECHNOLOGY: IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES
PSAU,18.6000003814697,18.1599998474121,18.1599998474121,18.6599998474121,2900,2018-04-03,POWERSHARES GLOBAL GOLD & PRECIOUS METALS PORTFOLIO,,
LXRX,42.3499984741211,42.3499984741211,41.2299995422363,42.7000007629395,30600,2004-01-02,LEXICON PHARMACEUTICALS INC.,HEALTH CARE,MAJOR PHARMACEUTICALS
FFG,13.1000003814697,13.3599996566772,13.1000003814697,13.6700000762939,64100,2008-12-23,FBL FINANCIAL GROUP INC.,FINANCE,LIFE INSURANCE
HRI,45.0,44.3400001525879,43.3499984741211,45.0299987792969,857400,2011-07-18,HERC HOLDINGS INC.,,
ESIO,1.9375,1.8125,1.8125,1.9375,12000,1991-11-05,ELECTRO SCIENTIFIC INDUSTRIES INC.,MISCELLANEOUS,INDUSTRIAL MACHINERY/COMPONENTS
PCK,9.4399995803833,9.44999980926514,9.35000038146973,9.47999954223633,39100,2015-08-28,PIMCO CALIFORNIA MUNICIPAL INCOME FUND II,,
CSQ,9.10000038146973,9.14999961853027,9.06999969482422,9.21000003814697,554000,2010-04-19,CALAMOS STRATEGIC TOTAL RETURN FUND,,
IAC,146.460006713867,147.160003662109,146.009994506836,149.509994506836,685000,2018-08-01,IAC/INTERACTIVECORP,CONSUMER SERVICES,OTHER SPECIALTY STORES
ENIA,10.6139259338379,10.7474336624146,10.4804172515869,10.8809423446655,279000,1994-05-03,ENEL AMERICAS S.A.,PUBLIC UTILITIES,ELECTRIC UTILITIES: CENTRAL
JWN,44.5200004577637,44.5299987792969,44.1500015258789,44.9300003051758,1819500,2017-04-07,NORDSTROM INC.,CONSUMER SERVICES,CLOTHING/SHOE/ACCESSORY STORES
OGE,9.0,8.9375,8.9375,9.03125,118800,1993-05-10,OGE ENERGY CORPORATION,PUBLIC UTILITIES,ELECTRIC UTILITIES: CENTRAL
CSS,23.6666660308838,23.7083339691162,23.6666660308838,23.7083339691162,1300,1997-09-15,CSS INDUSTRIES INC.,CONSUMER SERVICES,CONSUMER: GREETING CARDS
IESC,38.9697608947754,37.2605590820312,35.8931999206543,38.9697608947754,32800,2005-04-19,IES HOLDINGS INC.,CAPITAL GOODS,ENGINEERING & CONSTRUCTION
MAMS,1.58000004291534,1.54999995231628,1.54999995231628,1.58000004291534,3700,2011-03-23,MAM SOFTWARE GROUP INC.,TECHNOLOGY,COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
IMMR,1.60000002384186,1.53999996185303,1.53999996185303,1.63999998569489,29600,2003-05-29,IMMERSION CORPORATION,TECHNOLOGY,COMPUTER PERIPHERAL EQUIPMENT
NANO,7.0,7.0,7.0,7.0,400,1986-03-27,NANOMETRICS INCORPORATED,CAPITAL GOODS,INDUSTRIAL MACHINERY/COMPONENTS
